Continent,Nationality,Type of data,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
America,American virgin islands,Immigration,1,0,1,2,2,1,1,1,0,0,0,0,2,1,0,0,2,2,1,1,2,2,3,0,5,0,4,2
America,Anguilla,Immigration,1,1,4,3,4,4,1,3,6,1,2,1,2,2,0,3,2,0,0,0,0,2,2,2,1,2,2,2
America,Antigua and Barbuda,Immigration,1,4,0,3,1,0,2,6,2,1,2,2,2,3,0,1,4,4,2,3,5,3,4,2,2,1,1,3
America,Argentina,Immigration,119,145,162,165,145,207,280,325,282,228,169,216,210,312,285,339,314,356,407,457,504,508,642,821,1045,863,1185,1363
America,Aruba,Immigration,74,71,108,127,185,249,272,278,164,152,126,249,295,391,478,622,661,576,580,568,524,570,684,618,726,1207,1566,1370
America,Bahamas,Immigration,2,2,8,3,2,2,7,2,5,4,1,4,2,4,2,1,5,2,7,5,8,3,10,8,10,16,5,6
America,Barbados,Immigration,4,8,12,4,6,9,4,2,8,4,4,1,4,3,3,1,14,9,10,3,13,14,10,13,10,2,16,14
America,Belize,Immigration,1,0,3,4,0,4,3,1,1,1,0,1,3,3,2,0,2,2,1,1,1,4,2,7,7,6,3,8
America,Bermuda,Immigration,0,2,3,2,1,2,2,4,2,2,2,2,1,6,4,3,2,9,5,5,1,7,3,13,15,7,10,4
America,Bolivia,Immigration,35,35,44,55,55,51,57,69,74,63,44,74,66,84,74,73,64,65,92,79,66,62,95,106,125,82,101,137
America,Brazil,Immigration,541,720,770,852,738,810,838,884,926,882,1047,1178,1261,1600,1504,1623,1591,1545,2015,2142,2694,2377,3226,4085,4382,3055,3801,4478
America,British Virginislands,Immigration,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,2,0,0,1,0,1,1,3,1,2,3,2,1
America,Canada,Immigration,447,662,622,653,646,744,753,686,573,564,678,692,748,909,809,918,897,1040,1039,1039,1184,1252,1342,1461,1412,1018,871,1236
America,Caribbean Netherlands,Immigration,,,,,,,,,,,,,,,,0,0,5,8,5,9,12,28,22,22,178,194,220
America,Cayman Islands,Immigration,0,0,2,1,0,2,1,2,0,5,0,3,2,0,2,0,0,3,0,0,2,0,1,4,4,3,3,1
America,Chili,Immigration,84,87,118,152,153,161,137,159,147,196,332,293,161,154,184,184,219,252,213,246,317,379,392,443,463,408,446,519
America,Colombia,Immigration,419,652,694,761,615,707,722,707,675,637,626,556,508,668,784,872,846,820,1008,833,876,999,1099,1322,1558,1209,1474,1569
America,Costa Rica,Immigration,23,52,45,72,46,56,62,60,56,48,49,47,55,44,61,78,79,86,55,89,83,100,96,145,156,127,141,176
America,Cuba,Immigration,65,92,155,159,136,140,124,149,141,117,118,107,80,79,112,111,76,81,99,105,102,74,111,192,173,139,154,171
America,Curacao,Immigration,,,,,,,,,,,,,,,,0,0,75,77,98,167,181,250,359,492,3577,3976,4174
America,Dominica,Immigration,4,8,5,9,12,11,13,12,13,8,4,5,4,7,4,6,9,7,2,7,1,10,11,8,6,2,10,7
America,Dominican Republic,Immigration,399,562,563,717,644,723,675,609,444,446,475,473,454,547,624,704,687,602,617,631,558,565,641,692,725,594,627,687
America,Ecuador,Immigration,100,130,150,194,106,159,152,167,169,169,166,151,161,200,169,238,213,265,237,254,302,264,306,391,341,294,371,416
America,El Salvador,Immigration,7,10,12,26,14,17,20,18,26,10,14,17,15,24,20,21,26,21,20,22,44,34,45,74,89,39,90,80
America,Falkland Islands,Immigration,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
America,French Guyana,Immigration,30,38,39,29,28,41,62,67,61,70,60,29,36,40,71,61,55,44,37,49,27,37,40,48,44,38,35,51
America,Grenada,Immigration,2,5,1,6,2,3,5,3,2,4,2,1,3,4,1,4,2,2,1,2,2,3,3,4,2,2,2,4
America,Greenland,Immigration,1,2,1,1,0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1,3,3,2,0,3,3,5,1
America,Guadeloupe,Immigration,6,10,13,10,15,30,12,34,25,23,9,12,13,13,20,29,15,19,23,19,18,22,31,49,45,33,44,43
America,Guatemala,Immigration,18,16,19,35,62,80,91,37,46,42,38,32,40,39,48,49,46,68,60,42,46,49,78,95,114,43,76,94
America,Guyana,Immigration,57,87,79,111,97,73,64,78,87,53,36,59,32,47,27,50,44,39,38,32,48,45,45,57,47,52,54,44
