Continent,Nationality,Type of data,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa,Algerian,Population,933,1124,1060,1067,1094,917,897,845,816,813,834,812,800,782,778,797,777,754,760,637,570,558,568,574,629,668,691,727,1169
Africa,Angolan,Population,1120,1633,1661,1679,1609,1184,982,946,1009,993,930,834,746,701,680,711,753,751,815,802,756,768,729,763,787,824,796,773,737
Africa,Benin,Population,51,51,46,46,50,48,50,59,65,73,81,82,84,89,93,98,93,94,100,89,90,90,94,95,86,89,94,86,85
Africa,Botswanan,Population,27,26,31,24,30,25,26,22,31,26,32,29,29,35,35,35,30,34,35,36,36,36,37,37,37,44,41,46,47
Africa,Burkinabe,Population,106,107,80,89,83,90,96,85,92,111,142,153,154,139,135,131,114,111,111,107,101,97,98,102,106,118,121,124,134
Africa,Burundian,Population,23,35,46,65,79,77,103,117,147,166,188,233,294,375,414,455,441,421,360,326,309,303,310,333,338,335,321,310,303
Africa,Central African,Population,3,4,7,5,4,2,2,1,1,1,0,3,5,5,4,3,5,4,2,3,5,8,10,17,23,30,26,29,27
Africa,Comorian,Population,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,1,0,0,0,1,2,1,4,2,2,4
Africa,Citizen of Congo,Population,6,20,20,29,69,97,207,270,354,417,450,481,512,506,482,507,483,477,488,534,479,542,501,502,505,496,446,416,362
Africa,Citizen of the Democratic Republic of Congo,Population,2732,3213,2909,2765,2430,1887,1622,1437,1310,1227,1168,1120,1011,946,935,907,876,830,823,809,692,727,804,826,988,1134,1139,1139,1316
Africa,Djiboutian,Population,20,21,17,18,23,21,33,26,29,31,32,27,26,20,20,19,19,17,12,12,14,17,18,20,23,30,32,42,42
Africa,Egyptian,Population,4548,4084,3105,3101,2933,2771,2588,2425,2440,2649,2840,2804,2729,2562,2527,2575,2603,2550,2465,2556,2632,2687,2891,3293,3836,4498,4701,5217,6062
Africa,Equatorial Guinea,Population,5,4,2,1,1,1,2,3,3,3,3,3,2,3,3,5,4,4,3,2,5,5,5,5,5,5,5,5,4
